voxel,with_base_score,without_base_score
"(9, 27, 35)",0.8083623003472675,0.2802726902001784
"(9, 27, 36)",0.808362300347268,0.2802724808816658
"(9, 27, 37)",0.808362300347268,0.2802725157383644
"(9, 27, 43)",0.808362300347268,0.28027231416497245
"(9, 27, 44)",0.8083623003472674,0.2802725560478444
"(9, 27, 45)",0.8083623003472677,0.2802724593234309
"(9, 27, 46)",0.8083623003472682,0.2802726627497816
"(9, 27, 47)",0.8083623003472687,0.2802725245854002
"(9, 27, 48)",0.8083623003472679,0.28027266909258164
"(9, 27, 49)",0.8083623003472686,0.28027254254341283
"(9, 28, 31)",0.8083623003472686,0.28027267674820167
"(9, 28, 32)",0.80836230034727,0.2802722531509949
"(9, 28, 33)",0.8083623003472682,0.28027226826953366
"(9, 28, 34)",0.8083623003472686,0.2802723351555725
"(9, 28, 35)",0.8083623003472675,0.2802723988362975
"(9, 28, 37)",0.808362300347268,0.28027270963858286
"(9, 28, 39)",0.8083623003472677,0.2802724810386168
"(9, 28, 46)",0.8083623003472679,0.2802726157571884
"(9, 28, 47)",0.8083623003472681,0.2802725438536614
"(9, 28, 48)",0.8083623003472679,0.2802722339771294
"(9, 28, 49)",0.808362300347268,0.2802722044481607
"(9, 28, 50)",0.8083623003472687,0.2802724685072716
"(9, 28, 51)",0.8083623003472684,0.28027272649041235
"(9, 29, 31)",0.8083623003472684,0.2802724983232041
"(9, 29, 32)",0.8083623003472677,0.2802727880322904
"(9, 29, 33)",0.8083623003472671,0.28027223698110604
"(9, 29, 34)",0.8083623003472689,0.2802725312519897
"(9, 29, 35)",0.8083623003472685,0.280272756098526
"(9, 29, 38)",0.808362300347269,0.28027249388212516
"(9, 29, 39)",0.8083623003472684,0.2802728477535299
"(9, 29, 48)",0.8083623003472675,0.2802724166549202
"(9, 29, 49)",0.8083623003472691,0.28027261198865605
"(9, 29, 50)",0.8083623003472684,0.28027275851912736
"(9, 29, 51)",0.8083623003472684,0.2802727940264116
"(9, 29, 52)",0.808362300347268,0.28027266984767485
"(9, 29, 53)",0.808362300347268,0.2802727579296229
"(9, 29, 54)",0.8083623003472689,0.28027234060715533
"(9, 30, 32)",0.8083623003472689,0.2802722653193508
"(9, 30, 33)",0.8083623003472684,0.28027248416201334
"(9, 30, 34)",0.8083623003472683,0.2802722219941056
