Voxel,Best_Alpha
"(13, 22, 43)",5.0
"(13, 22, 44)",5.0
"(13, 22, 45)",5.0
"(13, 22, 46)",5.0
"(13, 22, 47)",5.0
"(13, 22, 48)",5.0
"(13, 22, 49)",5.0
"(13, 22, 50)",5.0
"(13, 23, 32)",5.0
"(13, 23, 33)",5.0
"(13, 23, 34)",5.0
"(13, 23, 35)",5.0
"(13, 23, 36)",5.0
"(13, 23, 42)",5.0
"(13, 23, 43)",5.0
"(13, 23, 44)",5.0
"(13, 23, 45)",5.0
"(13, 23, 46)",5.0
"(13, 23, 47)",5.0
"(13, 23, 48)",5.0
"(13, 23, 49)",5.0
"(13, 23, 50)",5.0
"(13, 23, 51)",5.0
"(13, 23, 52)",5.0
"(13, 24, 33)",5.0
"(13, 24, 34)",5.0
"(13, 24, 35)",5.0
"(13, 24, 36)",5.0
"(13, 24, 41)",5.0
"(13, 24, 42)",5.0
"(13, 24, 43)",5.0
"(13, 24, 44)",5.0
"(13, 24, 45)",5.0
"(13, 24, 46)",5.0
"(13, 24, 47)",5.0
"(13, 24, 48)",5.0
"(13, 24, 49)",5.0
"(13, 24, 50)",5.0
"(13, 24, 51)",5.0
"(13, 24, 52)",5.0
"(13, 25, 41)",5.0
"(13, 25, 42)",5.0
"(13, 25, 43)",5.0
"(13, 25, 44)",5.0
"(13, 25, 45)",5.0
"(13, 25, 46)",5.0
"(13, 25, 47)",5.0
"(13, 25, 48)",5.0
"(13, 25, 49)",5.0
"(13, 25, 50)",5.0
"(13, 25, 51)",5.0
"(13, 25, 53)",5.0
"(13, 25, 54)",5.0
"(13, 25, 55)",5.0
"(13, 26, 30)",5.0
"(13, 26, 31)",5.0
"(13, 26, 32)",5.0
"(13, 26, 42)",5.0
"(13, 26, 43)",5.0
"(13, 26, 44)",5.0
"(13, 26, 45)",5.0
"(13, 26, 46)",5.0
"(13, 26, 47)",5.0
"(13, 26, 48)",5.0
"(13, 26, 49)",5.0
"(13, 26, 50)",5.0
"(13, 26, 54)",5.0
"(13, 26, 55)",5.0
"(13, 26, 56)",5.0
"(13, 27, 28)",5.0
"(13, 27, 29)",5.0
"(13, 27, 30)",5.0
"(13, 27, 31)",5.0
"(13, 27, 32)",5.0
"(13, 27, 33)",5.0
"(13, 27, 37)",5.0
"(13, 27, 38)",5.0
"(13, 27, 39)",5.0
"(13, 27, 43)",5.0
"(13, 27, 44)",5.0
"(13, 27, 45)",5.0
"(13, 27, 46)",5.0
"(13, 27, 47)",5.0
"(13, 27, 48)",5.0
"(13, 27, 49)",5.0
"(13, 27, 50)",5.0
"(13, 27, 56)",5.0
"(13, 27, 57)",5.0
"(13, 28, 27)",5.0
"(13, 28, 28)",5.0
"(13, 28, 29)",5.0
"(13, 28, 30)",5.0
"(13, 28, 31)",5.0
"(13, 28, 32)",5.0
"(13, 28, 33)",5.0
"(13, 28, 36)",5.0
"(13, 28, 37)",5.0
"(13, 28, 38)",5.0
"(13, 28, 39)",5.0
"(13, 28, 44)",5.0
"(13, 28, 45)",5.0
"(13, 28, 46)",5.0
"(13, 28, 47)",5.0
"(13, 28, 48)",5.0
"(13, 28, 57)",5.0
"(13, 28, 58)",5.0
"(13, 29, 27)",5.0
"(13, 29, 28)",5.0
"(13, 29, 29)",5.0
"(13, 29, 30)",5.0
"(13, 29, 31)",5.0
"(13, 29, 32)",5.0
"(13, 29, 57)",5.0
"(13, 29, 58)",5.0
"(13, 29, 59)",5.0
"(13, 30, 28)",5.0
"(13, 30, 29)",5.0
"(13, 30, 30)",5.0
"(13, 33, 37)",5.0
"(13, 33, 38)",5.0
"(13, 34, 35)",5.0
"(13, 34, 36)",5.0
"(13, 34, 37)",5.0
"(13, 34, 38)",5.0
"(13, 34, 39)",5.0
"(13, 35, 34)",5.0
"(13, 35, 35)",5.0
"(13, 35, 36)",5.0
"(13, 35, 37)",5.0
"(13, 35, 38)",5.0
"(13, 35, 39)",5.0
"(13, 36, 34)",5.0
"(13, 36, 35)",5.0
"(13, 36, 36)",5.0
"(13, 36, 37)",5.0
"(13, 36, 38)",5.0
"(13, 37, 33)",5.0
"(13, 37, 34)",5.0
"(13, 37, 35)",5.0
"(13, 37, 36)",5.0
"(13, 38, 32)",5.0
"(13, 38, 33)",5.0
"(13, 38, 34)",5.0
"(13, 38, 35)",5.0
"(13, 39, 31)",5.0
"(13, 39, 32)",5.0
"(13, 39, 33)",5.0
"(13, 39, 34)",5.0
"(13, 39, 35)",5.0
"(13, 40, 31)",5.0
"(13, 40, 32)",5.0
"(13, 40, 33)",5.0
"(13, 40, 34)",5.0
"(13, 41, 31)",5.0
"(13, 41, 32)",5.0
"(13, 41, 33)",5.0
"(13, 42, 31)",5.0
"(13, 42, 32)",5.0
"(14, 18, 37)",5.0
"(14, 18, 38)",5.0
"(14, 19, 37)",5.0
"(14, 19, 38)",5.0
"(14, 19, 39)",5.0
"(14, 19, 40)",5.0
"(14, 19, 41)",5.0
"(14, 19, 42)",5.0
"(14, 19, 43)",5.0
"(14, 19, 44)",5.0
"(14, 19, 45)",5.0
"(14, 20, 42)",5.0
"(14, 20, 43)",5.0
"(14, 20, 44)",5.0
"(14, 20, 45)",5.0
"(14, 20, 46)",5.0
"(14, 20, 47)",5.0
"(14, 20, 48)",5.0
"(14, 21, 30)",5.0
"(14, 21, 31)",5.0
"(14, 21, 34)",5.0
"(14, 21, 35)",5.0
"(14, 21, 43)",5.0
"(14, 21, 44)",5.0
