X,Y,Z
15,35,33
15,35,34
15,35,35
15,35,36
15,35,37
15,35,38
15,36,33
15,36,34
15,36,35
15,36,36
15,36,37
15,37,33
15,37,34
15,37,35
15,37,36
15,38,32
15,38,33
15,38,34
15,38,35
15,38,36
15,39,32
15,39,33
15,39,34
15,39,35
15,40,32
15,40,33
15,40,34
15,41,32
15,41,33
15,42,31
15,42,32
15,46,35
15,46,36
15,46,37
15,48,32
15,48,38
15,49,32
15,49,37
15,49,38
15,49,39
15,50,37
15,50,38
15,50,39
15,51,36
15,51,37
15,51,38
15,51,39
15,52,35
15,52,36
15,52,37
15,54,38
15,54,39
15,55,37
15,55,38
16,16,37
16,16,38
16,17,43
16,18,37
16,18,43
16,18,44
16,18,45
16,18,46
16,18,47
16,18,48
16,19,37
16,19,38
16,19,44
16,19,45
16,19,46
16,19,47
16,19,48
16,19,49
16,19,50
16,20,43
16,20,44
16,20,45
16,20,49
16,20,50
16,20,51
16,21,41
16,21,42
16,21,43
16,21,44
16,21,45
16,21,46
16,21,47
16,21,48
16,21,49
16,21,50
16,21,51
16,21,52
16,22,45
16,22,46
16,22,47
16,22,48
16,22,49
16,22,50
16,22,51
16,22,52
16,22,53
16,22,54
16,22,55
16,23,31
16,23,32
16,23,46
16,23,47
16,23,48
16,23,49
16,23,50
16,23,51
16,23,52
16,23,53
16,23,54
16,23,55
16,23,56
16,24,31
16,24,32
16,24,52
16,24,53
16,24,54
16,24,55
16,24,56
16,24,57
16,25,30
16,25,31
16,25,32
16,25,41
16,25,42
16,25,43
16,25,44
16,25,45
16,25,53
16,25,54
16,25,55
16,25,56
16,25,57
16,25,58
16,26,28
16,26,30
16,26,31
16,26,32
16,26,41
16,26,42
16,26,43
16,26,44
16,26,45
16,26,55
16,26,56
16,26,57
16,26,58
16,26,59
16,27,27
16,27,28
16,27,31
16,27,32
16,27,41
16,27,42
16,27,43
16,27,56
16,27,57
16,27,58
16,27,59
16,27,60
16,28,27
16,28,28
16,28,29
16,28,30
16,28,31
16,28,32
16,28,38
16,28,39
16,28,40
16,28,41
16,28,56
16,28,57
16,28,58
16,28,59
16,28,60
16,29,26
16,29,27
16,29,28
16,29,29
16,29,30
16,29,31
16,29,32
16,29,33
16,29,37
16,29,38
16,29,39
16,29,40
16,29,43
16,29,44
16,29,45
16,29,57
16,29,58
16,29,59
16,29,60
16,29,61
16,30,26
16,30,27
16,30,28
16,30,29
16,30,30
16,30,31
16,30,32
16,30,33
16,30,34
16,30,35
16,30,36
16,30,37
16,30,38
16,30,58
16,30,59
16,30,60
16,30,61
16,31,25
16,31,26
16,31,27
16,31,28
16,31,29
16,31,34
16,31,35
16,31,36
16,31,37
16,31,38
16,31,60
16,31,61
16,32,25
16,32,26
16,32,27
16,32,28
16,32,34
16,32,35
16,32,36
16,32,37
16,32,38
16,32,39
16,33,25
16,33,26
16,33,27
16,33,35
16,33,36
16,33,37
16,33,38
16,33,39
16,33,40
16,34,35
16,34,36
16,34,37
16,34,38
16,34,39
16,34,40
16,35,35
16,35,36
16,35,37
16,35,38
16,35,39
16,35,40
16,36,34
16,36,35
16,36,36
16,36,37
16,36,38
16,36,39
16,37,34
16,37,35
16,37,36
16,37,37
16,37,38
16,38,33
16,38,34
16,38,35
16,38,36
16,39,33
16,39,34
16,39,35
16,40,32
16,40,33
16,40,34
16,40,35
16,41,32
16,41,33
16,41,34
16,42,32
16,42,33
16,43,32
16,44,37
16,44,38
16,44,39
16,44,41
16,44,42
16,45,34
16,45,35
16,45,36
16,45,37
16,45,38
16,45,39
16,46,32
16,46,33
16,46,34
16,46,35
16,46,36
16,46,37
16,46,38
16,46,39
16,47,31
16,47,32
16,47,33
16,47,34
16,47,36
16,47,37
16,47,38
16,47,39
16,48,31
16,48,32
16,48,33
16,48,34
16,48,35
16,48,36
16,48,37
16,48,38
16,48,39
16,48,40
16,48,41
16,49,31
16,49,32
16,49,33
16,49,34
16,49,35
16,49,36
16,49,37
16,49,38
16,49,39
16,49,40
16,49,41
16,50,31
16,50,32
16,50,33
16,50,34
16,50,35
16,50,36
16,50,37
16,50,38
16,50,39
16,50,40
16,50,41
16,51,31
16,51,32
16,51,33
16,51,34
16,51,35
16,51,36
16,51,37
16,51,38
16,51,39
16,51,40
16,51,41
16,52,31
16,52,32
16,52,33
16,52,34
16,52,35
16,52,36
16,52,37
16,52,38
16,52,39
16,52,40
16,52,41
16,53,32
16,53,33
16,53,34
16,53,35
16,53,36
16,53,37
16,53,38
16,53,39
16,53,40
16,53,41
16,54,32
16,54,33
16,54,34
16,54,35
16,54,36
16,54,37
16,54,38
16,54,39
16,54,40
16,55,32
16,55,33
16,55,34
16,55,35
16,55,36
16,55,37
16,55,38
16,55,39
16,56,32
16,56,33
16,56,34
16,56,35
16,56,36
16,56,37
16,56,38
16,57,33
16,57,34
16,57,35
16,57,36
16,57,37
16,58,33
16,58,34
16,58,35
16,58,36
16,59,32
16,59,33
16,59,34
16,60,32
16,60,33
17,15,36
17,15,37
17,17,34
17,17,35
17,17,43
17,17,44
17,17,45
17,17,46
17,17,47
17,17,48
17,18,35
17,18,36
17,18,37
17,18,47
17,18,48
17,18,49
17,19,36
17,19,37
17,19,38
17,19,44
17,19,49
17,19,50
17,19,51
17,19,52
17,20,42
17,20,43
17,20,44
17,20,49
17,20,50
17,20,51
17,20,52
17,20,53
17,21,42
17,21,43
17,21,44
17,21,49
17,21,50
17,21,51
17,21,52
17,21,53
17,21,54
17,21,55
17,22,50
17,22,51
17,22,52
17,22,54
17,22,55
17,22,56
17,23,28
17,23,54
17,23,55
17,23,56
17,23,57
17,24,28
17,24,31
17,24,53
17,24,54
17,24,55
17,24,56
17,24,57
17,24,58
17,25,30
17,25,31
17,25,32
17,25,41
17,25,42
17,25,43
17,25,44
17,25,45
17,25,53
17,25,54
17,25,55
17,25,56
17,25,57
17,25,58
17,25,59
17,26,31
17,26,32
17,26,41
17,26,42
17,26,43
17,26,44
17,26,45
17,26,56
17,26,57
17,26,58
17,26,59
17,26,60
17,27,32
17,27,33
17,27,34
17,27,35
17,27,40
17,27,41
17,27,42
17,27,43
17,27,44
17,27,56
17,27,57
17,27,58
17,27,59
17,27,60
17,27,61
17,28,34
17,28,35
17,28,36
17,28,37
17,28,38
17,28,39
17,28,40
17,28,41
17,28,42
17,28,43
17,28,44
17,28,56
17,28,57
17,28,58
17,28,59
17,28,60
17,28,61
17,29,26
17,29,27
17,29,28
17,29,36
17,29,37
17,29,38
17,29,39
17,29,40
17,29,41
17,29,42
17,29,43
17,29,44
17,29,56
17,29,57
17,29,58
17,29,59
17,29,60
17,29,61
17,29,62
17,30,26
17,30,27
17,30,28
17,30,37
17,30,38
17,30,39
17,30,40
17,30,41
17,30,42
17,30,43
17,30,57
17,30,58
17,30,59
17,30,60
17,30,61
17,30,62
17,31,26
17,31,27
17,31,28
17,31,37
17,31,38
17,31,39
17,31,40
17,31,41
17,31,42
17,31,58
17,31,59
17,31,60
17,31,61
17,31,62
17,32,25
17,32,26
17,32,27
17,32,37
17,32,38
17,32,39
17,32,40
17,32,41
17,32,42
17,32,58
17,32,59
17,32,60
17,33,25
17,33,26
17,33,27
17,33,37
17,33,38
17,33,39
17,33,40
17,33,41
17,33,42
17,33,43
17,33,60
17,34,25
17,34,26
17,34,37
17,34,38
17,34,39
17,34,40
17,34,41
17,34,42
17,34,43
17,35,37
17,35,38
17,35,39
17,35,40
17,35,41
17,35,42
17,36,36
17,36,37
17,36,38
17,36,39
17,36,40
17,36,41
17,37,36
17,37,37
17,37,38
17,37,39
17,37,40
17,37,41
17,37,42
17,38,35
17,38,36
17,38,41
17,38,42
17,38,43
17,39,43
17,42,33
17,43,33
17,43,34
17,43,35
17,43,37
17,43,38
17,43,39
17,43,42
17,44,33
17,44,34
17,44,35
17,44,36
17,44,37
17,44,38
17,44,39
17,44,40
17,44,41
17,44,42
17,44,43
17,45,33
17,45,34
17,45,35
17,45,36
17,45,37
17,45,38
17,45,39
17,45,40
17,46,32
17,46,33
17,46,34
17,46,35
17,46,36
17,46,37
17,46,38
17,46,39
17,46,40
17,46,41
17,46,42
17,47,31
17,47,32
17,47,33
17,47,34
17,47,35
17,47,36
17,47,37
17,47,38
17,47,39
17,47,40
17,47,41
17,47,42
17,47,43
17,48,31
17,48,32
17,48,33
17,48,34
17,48,35
17,48,36
17,48,37
17,48,38
17,48,39
17,48,40
17,48,41
17,48,42
17,49,30
17,49,31
17,49,32
17,49,33
17,49,34
17,49,35
17,49,36
17,49,37
17,49,38
17,49,39
17,49,40
17,49,41
17,50,30
17,50,31
17,50,32
17,50,33
17,50,34
17,50,35
17,50,36
17,50,37
17,50,38
17,50,39
17,50,40
17,50,41
17,51,30
17,51,31
17,51,32
17,51,33
17,51,34
17,51,35
17,51,36
17,51,37
17,51,38
17,51,39
17,51,40
17,51,41
17,52,29
17,52,30
17,52,31
17,52,32
17,52,33
17,52,34
17,52,35
17,52,36
17,52,37
17,52,38
17,52,39
17,52,40
17,52,41
17,53,29
17,53,30
17,53,31
17,53,32
17,53,33
17,53,34
17,53,35
17,53,36
17,53,37
17,53,38
17,53,39
17,53,40
17,53,41
17,54,29
17,54,30
17,54,31
17,54,32
17,54,33
17,54,34
17,54,35
17,54,36
17,54,37
17,54,38
17,54,39
17,54,40
17,54,41
17,55,30
17,55,31
17,55,32
17,55,33
17,55,34
17,55,35
17,55,36
17,55,37
17,55,38
17,55,39
17,55,40
17,56,30
17,56,31
17,56,32
17,56,33
17,56,34
17,56,35
17,56,36
17,56,37
17,56,38
17,56,39
17,57,31
17,57,32
17,57,33
17,57,34
17,57,35
17,57,36
17,57,37
17,57,38
17,58,31
17,58,32
17,58,33
17,58,34
17,58,35
17,58,36
17,58,37
17,58,38
17,59,31
17,59,32
17,59,33
17,59,34
17,59,35
17,59,36
17,59,37
17,60,30
17,60,31
17,60,32
17,60,33
17,60,34
17,60,35
17,60,36
17,60,37
17,61,29
17,61,30
17,61,31
17,61,32
17,61,33
17,61,34
17,61,35
17,61,36
17,62,29
17,62,30
17,62,31
17,62,32
17,62,33
17,62,34
17,62,35
17,63,29
17,63,30
17,63,31
18,16,44
18,16,45
18,16,46
18,16,47
18,17,47
18,17,48
18,17,49
18,18,36
18,18,48
18,18,49
18,18,50
18,18,51
18,19,50
18,19,51
18,19,52
18,20,43
18,20,50
18,20,51
18,20,52
18,20,53
18,20,54
18,21,50
18,21,51
18,21,52
18,21,54
18,21,55
18,22,55
18,22,56
18,22,57
18,23,54
18,23,55
18,23,56
18,23,57
18,23,58
18,24,38
18,24,39
18,24,40
18,24,54
18,24,55
18,24,56
18,24,57
18,24,58
18,24,59
18,25,38
18,25,39
18,25,40
18,25,41
18,25,42
18,25,43
18,25,44
18,25,55
18,25,56
18,25,57
18,25,58
18,25,59
18,25,60
18,26,39
18,26,40
18,26,41
18,26,42
18,26,43
18,26,44
18,26,56
18,26,57
18,26,58
18,26,59
18,26,60
18,26,61
18,27,39
18,27,40
18,27,41
18,27,42
18,27,43
18,27,44
18,27,56
18,27,57
18,27,58
18,27,59
18,27,60
18,27,61
18,27,62
18,28,39
18,28,40
18,28,41
18,28,42
18,28,43
18,28,44
18,28,45
18,28,56
18,28,57
18,28,58
18,28,59
18,28,60
18,28,61
18,28,62
18,29,39
18,29,40
18,29,41
18,29,42
18,29,43
18,29,44
18,29,45
18,29,56
18,29,57
18,29,58
18,29,59
18,29,60
18,29,61
18,29,62
18,30,26
18,30,27
18,30,40
18,30,41
18,30,42
18,30,43
18,30,44
18,30,45
18,30,57
18,30,58
18,30,59
18,30,60
18,30,61
18,30,62
18,31,26
18,31,27
18,31,40
18,31,41
18,31,42
18,31,43
18,31,44
18,31,45
18,31,57
18,31,58
18,31,59
18,31,60
18,32,40
18,32,41
18,32,42
18,32,43
18,32,44
18,32,45
18,32,59
18,32,60
18,33,40
18,33,41
18,33,42
18,33,43
18,33,44
18,34,25
18,34,26
18,34,41
18,34,42
18,34,43
18,34,44
18,35,25
18,35,26
18,35,27
18,35,28
18,35,29
18,35,41
18,35,42
18,35,43
18,35,44
18,36,25
18,36,26
18,36,27
18,36,28
18,36,29
18,36,41
18,36,42
18,36,43
18,37,26
18,37,27
18,37,28
18,37,29
18,37,41
18,37,42
18,38,27
18,38,28
18,38,29
18,38,41
18,38,42
18,38,43
18,39,27
18,39,28
18,39,41
18,39,42
18,39,43
18,39,44
18,40,27
18,40,28
18,41,26
18,41,27
18,42,26
18,42,37
18,42,38
18,43,34
18,43,35
18,43,36
18,43,37
18,43,38
18,43,39
18,43,40
18,43,41
18,43,42
18,44,33
18,44,34
18,44,35
18,44,36
18,44,37
18,44,38
18,44,39
18,44,40
18,44,41
18,44,42
18,44,43
18,45,33
18,45,34
18,45,35
18,45,36
18,45,37
18,45,38
18,45,39
18,45,40
18,45,41
18,45,42
18,45,43
18,46,32
18,46,33
18,46,34
18,46,35
18,46,36
18,46,37
18,46,38
18,46,39
18,46,40
18,46,41
18,46,42
18,46,43
18,47,31
18,47,32
18,47,33
18,47,34
18,47,35
18,47,36
18,47,37
18,47,38
18,47,39
18,47,40
18,47,41
18,47,42
18,47,43
18,48,31
18,48,32
18,48,33
18,48,34
18,48,35
18,48,36
18,48,37
18,48,38
18,48,39
18,48,40
18,48,41
18,48,42
18,49,30
18,49,31
18,49,32
18,49,33
18,49,34
18,49,35
18,49,36
18,49,37
18,49,38
18,49,39
18,49,40
18,49,41
18,49,42
18,50,30
18,50,31
18,50,32
18,50,33
18,50,34
18,50,35
18,50,36
18,50,37
18,50,38
18,50,39
18,50,40
18,50,41
18,51,29
18,51,30
18,51,31
18,51,32
18,51,33
18,51,34
18,51,35
18,51,36
18,51,37
18,51,38
18,51,39
18,51,40
18,51,41
18,51,42
18,52,29
18,52,30
18,52,31
18,52,32
18,52,33
18,52,34
18,52,35
18,52,36
18,52,37
18,52,38
18,52,39
18,52,40
18,52,41
18,52,42
18,53,28
18,53,29
18,53,30
18,53,31
18,53,32
18,53,33
